,cate_id
0,1789
1,4221
2,1815
3,1846
4,1801
5,1882
6,1883
7,4384
8,2549
9,1520
10,914
11,1975
12,8594
13,17166
14,8322
15,11312
16,1794
17,28856
18,1795
19,8061
20,1796
21,3862
22,3865
23,3866
24,3864
25,3863
26,8074
27,5015
28,2328
29,3868
30,3869
31,26568
32,28890
33,28886
34,28884
35,28892
36,11524
37,4239
38,6280
39,7603
40,8950
41,12900
42,4236
43,7074
44,28872
45,4966
46,7075
47,26652
48,7078
49,7082
50,8068
51,7079
52,28858
53,7077
54,28870
55,28868
56,11518
57,28860
58,11516
59,28862
60,8067
61,8064
62,28866
63,26642
64,26638
65,7084
66,28882
67,7083
68,26640
69,8070
70,8073
71,28874
72,28876
73,28878
74,8214
75,28670
76,2667
77,28432
78,8215
79,8039
80,3803
81,1822
82,20238
83,1823
84,20222
85,20242
86,20220
87,20244
88,20234
89,1824
90,28624
91,28620
92,1819
93,1821
94,10691
95,28448
96,20236
97,20240
98,12908
99,12918
100,28460
101,12928
102,28598
103,28596
104,28582
105,28590
106,28584
107,28594
108,28586
109,28580
110,28576
111,28592
112,28588
113,28578
114,28574
115,28618
116,28616
117,3805
118,5007
119,12294
120,5006
121,28458
122,28472
123,28470
124,28482
125,28480
126,28478
127,28468
128,28462
129,28464
130,28466
131,28484
132,28486
133,28626
134,28630
135,28628
136,2659
137,20212
138,28622
139,28454
140,28456
141,28452
142,28450
143,1820
144,2173
145,1831
146,28688
147,12296
148,28706
149,28672
150,7795
151,28692
152,28690
153,28702
154,4880
155,28736
156,28738
157,3804
158,28740
159,28718
160,28720
161,28726
162,28722
163,28724
164,28716
165,4593
166,28734
167,8519
168,28732
169,28708
170,12876
171,28712
172,28714
173,28676
174,28674
175,28684
176,28678
177,28682
178,28686
179,28680
180,1832
181,5267
182,28696
183,3428
184,28698
185,1830
186,1836
187,1829
188,28694
189,5263
190,5264
191,1837
192,1838
193,2971
194,28704
195,7273
196,8251
197,6742
198,9013
199,12676
200,28398
201,28396
202,28392
203,20246
204,28436
205,20250
206,20252
207,28434
208,20254
209,20248
210,20258
211,20256
212,28446
213,8044
214,12864
215,28444
216,10413
217,20170
218,1805
219,28642
220,28656
221,30374
222,1811
223,1804
224,2324
225,12882
226,6653
227,8066
228,20190
229,1813
230,7081
231,28644
232,28646
233,20172
234,1803
235,20182
236,20174
237,5566
238,28658
239,28640
240,4429
241,5531
242,12878
243,8400
244,28638
245,2977
246,4428
247,8040
248,28420
249,8042
250,8043
251,2657
252,28430
253,28428
254,28426
255,8095
256,8129
257,8093
258,8060
